"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","Mom Grab","RHInteract","LHGrasp","LHInteract","RHGrasp","Interact Comment","Mouth","Grasp Comment","Interact  Comment","Mom Grab Comment","Mon Grab comment","Interact comment","Motion Comment","Mouth Comment","Momgrab comment","Grasp comment","Motion comment","Momgrab","Mouth comment","motion comment","grasp comment","moith comment","interact comment","Mom action","Mom action comment","inInteract comment","mouth comment","RHinteract","LHinteract","Mom Actions","File","File Path"
291.402,298.078,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
291.814,298.078,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
292.724,295.566,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
298.127,298.277,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
298.304,308.686,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
305.114,314.578,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
306.629,314.578,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
306.785,309.514,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
314.622,314.772,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
315.131,317.879,,,,,"ag","a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
316.206,321.878,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
322.406,326.374,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
323.006,326.374,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
323.128,325.309,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
329.519,330.97,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
338.1,339.324,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
343.416,348.521,,,,,"ag","a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
348.528,349.813,,"Shak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
349.799,383.671,,,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
352.403,383.671,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
355.4,357.587,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
363.602,370.974,,,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
363.602,370.984,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
375.12,392.793,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
376.414,392.793,,,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
383.517,383.802,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
391.799,396.771,,,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
391.903,396.771,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
